dataset,model,loss,pr-auc,roc-auc,f1-score
Raw,Regularized Autoencoder,Mean Absolute Error,0.5077,0.4799,0.6620
Raw,Regularized Autoencoder,χ2 Error,0.8578,0.8386,0.7826
Raw,Regularized Autoencoder,Gaussian χ2 Error,0.8359,0.8156,0.7663
Raw,Convolutional Autoencoder,Mean Absolute Error,0.3854,0.3424,0.6620
Raw,Convolutional Autoencoder,χ2 Error,0.4685,0.4662,0.6620
Raw,Convolutional Autoencoder,Gaussian χ2 Error,0.8523,0.8411,0.7881
Raw,Contractive Autoencoder,Mean Absolute Error,0.3791,0.3301,0.6620
Raw,Contractive Autoencoder,χ2 Error,0.4575,0.4577,0.6624
Raw,Contractive Autoencoder,Gaussian χ2 Error,0.8176,0.7924,0.7455
Visu Wavelet,Regularized Autoencoder,Mean Absolute Error,0.7898,0.7793,0.7295
Visu Wavelet,Regularized Autoencoder,χ2 Error,0.8735,0.8720,0.8091
Visu Wavelet,Regularized Autoencoder,Gaussian χ2 Error,0.8862,0.8707,0.8003
Visu Wavelet,Convolutional Autoencoder,Mean Absolute Error,0.4955,0.4869,0.6631
Visu Wavelet,Convolutional Autoencoder,χ2 Error,0.6865,0.7115,0.7055
Visu Wavelet,Convolutional Autoencoder,Gaussian χ2 Error,0.8759,0.8706,0.8010
Visu Wavelet,Contractive Autoencoder,Mean Absolute Error,0.5327,0.5577,0.6637
Visu Wavelet,Contractive Autoencoder,χ2 Error,0.7685,0.7905,0.7562
Visu Wavelet,Contractive Autoencoder,Gaussian χ2 Error,0.8991,0.8874,0.8164
Bayes Wavelet,Regularized Autoencoder,Mean Absolute Error,0.6219,0.5946,0.6620
Bayes Wavelet,Regularized Autoencoder,χ2 Error,0.8768,0.8722,0.8142
Bayes Wavelet,Regularized Autoencoder,Gaussian χ2 Error,0.8951,0.8757,0.8344
Bayes Wavelet,Convolutional Autoencoder,Mean Absolute Error,0.3890,0.3424,0.6620
Bayes Wavelet,Convolutional Autoencoder,χ2 Error,0.6429,0.6261,0.6639
Bayes Wavelet,Convolutional Autoencoder,Gaussian χ2 Error,0.8520,0.8474,0.7890
Bayes Wavelet,Contractive Autoencoder,Mean Absolute Error,0.4011,0.3775,0.6620
Bayes Wavelet,Contractive Autoencoder,χ2 Error,0.6674,0.6742,0.6889
Bayes Wavelet,Contractive Autoencoder,Gaussian χ2 Error,0.8616,0.8240,0.7761
Gaussian 0.5σ,Regularized Autoencoder,Mean Absolute Error,0.6542,0.6223,0.6620
Gaussian 0.5σ,Regularized Autoencoder,χ2 Error,0.8512,0.8313,0.7727
Gaussian 0.5σ,Regularized Autoencoder,Gaussian χ2 Error,0.8304,0.8075,0.7528
Gaussian 0.5σ,Convolutional Autoencoder,Mean Absolute Error,0.3983,0.3644,0.6620
Gaussian 0.5σ,Convolutional Autoencoder,χ2 Error,0.6093,0.5912,0.6620
Gaussian 0.5σ,Convolutional Autoencoder,Gaussian χ2 Error,0.8906,0.8835,0.8172
Gaussian 0.5σ,Contractive Autoencoder,Mean Absolute Error,0.4010,0.3764,0.6620
Gaussian 0.5σ,Contractive Autoencoder,χ2 Error,0.6578,0.6543,0.6758
